id;sku;name;description;unit_price;image_url;active;units_in_stock;date_created;last_updated
1;Generic Steel Tuna;website calculating;cross-platform support;98666;virtual wireless Computer;76146;89830;2021-02-19T18:44:55;2021-02-19T14:57:55
2;magenta Track;actuating THX;Division;6255;Generic Metal Tuna;44325;83023;2021-02-20T03:22:17;2021-02-19T20:18:31
3;partnerships throughput;Union transmitting;New Zealand;30312;green Credit Card Account;51217;18327;2021-02-20T05:19:03;2021-02-20T00:09:20
4;Ball Australian Dollar;Bike;digital;11502;CFP Franc aggregate;30106;94292;2021-02-20T10:53:26;2021-02-20T02:04:40
5;mobile distributed Dynamic;Sports Human New Mexico;yellow Awesome Wooden Shirt intangible;27331;withdrawal Rubber;86573;17814;2021-02-19T13:55:18;2021-02-20T09:27:26
6;Keyboard;Central Ergonomic Concrete Ball;pixel Gorgeous Rubber Cheese quantifying;16934;rich multi-byte online;90340;80952;2021-02-20T05:58:38;2021-02-19T18:05:51
7;hacking;efficient;Buckinghamshire;94611;applications;25082;95618;2021-02-20T08:24:54;2021-02-19T14:29:34
8;application sticky brand;backing up;Massachusetts Checking Account Gorgeous Fresh Ball;9545;Brand;10526;64809;2021-02-20T10:08:42;2021-02-20T06:33:44
9;Cambridgeshire back-end;National;Operations Associate;788;Serbian Dinar;61811;95388;2021-02-19T14:07:54;2021-02-19T19:09:38
10;Arkansas clicks-and-mortar Checking Account;programming Martinique Industrial;Concrete;21940;Gorgeous Fresh Pants optical Practical;89292;95162;2021-02-20T12:48:43;2021-02-20T06:52:50
